       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
      3000        16        0.68    0.0100
      4000        22        0.70    0.0230
      5000        29        0.71    0.0410
      6000        35        0.73    0.0700
      7000        40        0.74    0.1100
      8000        47        0.74    0.1610
      9000        52        0.75    0.2320
     10000        58        0.76    0.3170
     11000        64        0.76    0.4220
     12000        73        0.77    0.5030
     13000        79        0.77    0.6400
     14000        85        0.78    0.8000
     15000        91        0.78    0.9880
     16000        97        0.79    1.2050
     17000       104        0.79    1.4550
     18000       110        0.79    1.7420
     19000       116        0.79    2.0720
     20000       122        0.79    2.4540
     21000       128        0.79    2.9010
 


           ========== 10x7SF ==========

       RPM       VMPH       EFF      HP
      1000         5        0.68    0.0010
      2000        11        0.70    0.0040
      3000        17        0.70    0.0140
      4000        22        0.71    0.0320
      5000        28        0.72    0.0620
      6000        35        0.72    0.1040
      7000        42        0.72    0.1580
      8000        48        0.73    0.2360
      9000        54        0.73    0.3370
     10000        60        0.73    0.4620
     11000        66        0.73    0.6170
     12000        72        0.74    0.8030
     13000        78        0.74    1.0260
     14000        84        0.74    1.2870
     15000        90        0.74    1.5930
     16000        96        0.74    1.9480
     17000       102        0.74    2.3570
     18000       109        0.74    2.8290
     19000       115        0.74    3.3750
     20000       120        0.74    4.0380
     21000       126        0.73    4.8260
     22000       127        0.71    6.1330
 


           ========== 10x8 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.55    0.0010
      2000        12        0.63    0.0040
      3000        18        0.67    0.0120
      4000        26        0.70    0.0270
      5000        33        0.72    0.0510
      6000        39        0.74    0.0870
      7000        46        0.75    0.1360
      8000        53        0.76    0.2020
      9000        62        0.77    0.2630
     10000        69        0.77    0.3590
     11000        76        0.78    0.4780
     12000        83        0.79    0.6200
     13000        90        0.79    0.7900
     14000        97        0.80    0.9900
     15000       104        0.80    1.2250
     16000       116        0.80    1.3450
     17000       124        0.81    1.6260
     18000       131        0.81    1.9500
     19000       138        0.81    2.3240
     20000       146        0.82    2.7570
 


           ========== 10x8E ==========

       RPM       VMPH       EFF      HP
      1000         6        0.63    0.0010
      2000        12        0.68    0.0040
      3000        18        0.71    0.0120
      4000        26        0.73    0.0260
      5000        32        0.75    0.0500
      6000        39        0.76    0.0850
      7000        45        0.76    0.1340
      8000        52        0.77    0.1990
      9000        61        0.78    0.2600
     10000        68        0.78    0.3550
     11000        75        0.79    0.4720
     12000        82        0.79    0.6140
     13000        89        0.80    0.7820
     14000        96        0.80    0.9800
     15000       103        0.81    1.2120
     16000       110        0.81    1.4810
     17000       116        0.81    1.7910
     18000       129        0.81    1.9240
     19000       136        0.82    2.2920
     20000       143        0.82    2.7190
     21000       144        0.81    3.5800
 


           ========== 10x9 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.59    0.0010
      2000        14        0.67    0.0050
      3000        22        0.70    0.0140
      4000        29        0.73    0.0320
      5000        37        0.75    0.0610
      6000        44        0.76    0.1050
      7000        54        0.77    0.1520
      8000        62        0.78    0.2250
      9000        70        0.79    0.3180
     10000        78        0.80    0.4360
     11000        86        0.80    0.5800
     12000        94        0.81    0.7550
     13000       106        0.81    0.8650
     14000       110        0.81    1.1880
     15000       123        0.82    1.3430
     16000       131        0.82    1.6440
     17000       139        0.83    1.9910
     18000       147        0.83    2.3920
     19000       156        0.83    2.8550
 


           ========== 115x4 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.34    0.0010
      2000         6        0.42    0.0040
      3000        10        0.47    0.0110
      4000        14        0.50    0.0230
      5000        18        0.53    0.0430
      6000        22        0.55    0.0720
      7000        25        0.57    0.1120
      8000        31        0.58    0.1550
      9000        34        0.60    0.2190
     10000        38        0.61    0.2960
     11000        43        0.62    0.3850
     12000        46        0.63    0.5050
     13000        50        0.63    0.6400
     14000        57        0.64    0.7520
     15000        61        0.65    0.9240
     16000        65        0.66    1.1260
     17000        69        0.66    1.3600
     18000        73        0.67    1.6380
     19000        75        0.66    2.0880
     20000        78        0.64    2.6190
 


           ========== 115x6 ==========

       RPM       VMPH       EFF      HP
      1000         4        0.46    0.0010
      2000         9        0.55    0.0050
      3000        14        0.59    0.0150
      4000        20        0.62    0.0320
      5000        25        0.65    0.0610
      6000        31        0.66    0.1020
      7000        36        0.68    0.1610
      8000        43        0.69    0.2220
      9000        49        0.70    0.3140
     10000        55        0.71    0.4200
     11000        60        0.72    0.5680
     12000        65        0.73    0.7330
     13000        71        0.73    0.9340
     14000        80        0.74    1.0800
     15000        86        0.75    1.3440
     16000        91        0.75    1.6440
     17000        97        0.75    1.9970
     18000       103        0.76    2.4170
 


           ========== 11x10 ==========

       RPM       VMPH       EFF      HP
      1000         7        0.61    0.0010
      2000        15        0.69    0.0070
      3000        24        0.72    0.0210
      4000        32        0.75    0.0490
      5000        41        0.76    0.0950
      6000        51        0.78    0.1490
      7000        60        0.79    0.2350
      8000        69        0.80    0.3490
      9000        77        0.80    0.4950
     10000        86        0.81    0.6790
     11000        95        0.81    0.9060
     12000       104        0.82    1.1680
     13000       117        0.82    1.3590
     14000       126        0.83    1.7090
     15000       135        0.83    2.1230
     16000       144        0.84    2.6090
     17000       153        0.84    3.1780
     18000       162        0.84    3.8460
 


           ========== 11x10E ==========

       RPM       VMPH       EFF      HP
      1000         7        0.67    0.0010
      2000        16        0.73    0.0060
      3000        24        0.75    0.0200
      4000        32        0.77    0.0480
      5000        40        0.78    0.0920
      6000        50        0.79    0.1450
      7000        59        0.80    0.2280
      8000        67        0.81    0.3400
      9000        76        0.81    0.4830
     10000        84        0.82    0.6630
     11000        93        0.82    0.8860
     12000       101        0.82    1.1550
     13000       110        0.83    1.4780
     14000       124        0.83    1.6660
     15000       133        0.83    2.0680
     16000       141        0.84    2.5390
     17000       150        0.84    3.0900
     18000       159        0.84    3.7400
 


           ========== 11x11 ==========

       RPM       VMPH       EFF      HP
      1000         8        0.64    0.0010
      2000        16        0.71    0.0080
      3000        26        0.74    0.0240
      4000        35        0.76    0.0560
      5000        46        0.78    0.1000
      6000        56        0.79    0.1700
      7000        65        0.80    0.2690
      8000        75        0.81    0.4000
      9000        84        0.82    0.5690
     10000        94        0.82    0.7820
     11000       108        0.83    0.9380
     12000       118        0.83    1.2230
     13000       128        0.84    1.5650
     14000       137        0.84    1.9720
     15000       147        0.84    2.4530
     16000       157        0.85    3.0180
     17000       174        0.85    3.2140
     18000       185        0.85    3.8970
     19000       188        0.85    5.2990
     20000       205        0.84    5.7160
     21000       216        0.82    6.9380
 


           ========== 11x12 ==========

       RPM       VMPH       EFF      HP
      1000         8        0.65    0.0010
      2000        18        0.72    0.0080
      3000        28        0.75    0.0260
      4000        38        0.77    0.0600
      5000        49        0.79    0.1090
      6000        59        0.80    0.1860
      7000        69        0.81    0.2940
      8000        79        0.82    0.4370
      9000        89        0.82    0.6230
     10000       104        0.83    0.7690
     11000       115        0.84    1.0270
     12000       125        0.84    1.3400
     13000       135        0.84    1.7160
     14000       146        0.85    2.1640
     15000       156        0.85    2.6930
     16000       167        0.85    3.3150
     17000       178        0.86    3.9860
     18000       188        0.86    4.9100
     19000       198        0.85    5.9310
     20000       209        0.85    7.1240
 


           ========== 11x12E ==========

       RPM       VMPH       EFF      HP
      1000         9        0.71    0.0010
      2000        19        0.76    0.0090
      3000        30        0.78    0.0270
      4000        40        0.80    0.0630
