       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller STATIC Performance Predictions ==================
                  (sorted by Propeller) 



                       105x45.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

      21000         6.196         1.065         3.198        0.0495        0.1191       0.662
      22000         6.822         1.233         3.532        0.0498        0.1195       0.661
      23000         7.482         1.426         3.907        0.0504        0.1199       0.657
      24000         8.174         1.654         4.343        0.0515        0.1203       0.647
      25000         8.897         1.931         4.867        0.0532        0.1207       0.629
      26000         9.651         2.275         5.516        0.0557        0.1210       0.603


                       78x7.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.014         0.000         0.013        0.0863        0.1187       0.378
       2000         0.056         0.001         0.043        0.0730        0.1196       0.452
       3000         0.127         0.004         0.089        0.0675        0.1200       0.492
       4000         0.227         0.010         0.151        0.0643        0.1203       0.517
       5000         0.355         0.018         0.228        0.0622        0.1204       0.536
       6000         0.512         0.030         0.320        0.0608        0.1206       0.550
       7000         0.698         0.048         0.428        0.0597        0.1208       0.561
       8000         0.913         0.070         0.551        0.0588        0.1209       0.570
       9000         1.157         0.099         0.690        0.0582        0.1211       0.577
      10000         1.430         0.134         0.845        0.0577        0.1212       0.584
      11000         1.732         0.177         1.015        0.0573        0.1214       0.589
      12000         2.064         0.229         1.202        0.0570        0.1215       0.593
      13000         2.426         0.290         1.405        0.0568        0.1217       0.597
      14000         2.818         0.361         1.625        0.0566        0.1219       0.600
      15000         3.239         0.443         1.862        0.0565        0.1221       0.602
      16000         3.692         0.537         2.117        0.0565        0.1222       0.604
      17000         4.174         0.645         2.390        0.0565        0.1224       0.605
      18000         4.687         0.766         2.681        0.0565        0.1226       0.606
      19000         5.232         0.902         2.992        0.0566        0.1229       0.607
      20000         5.807         1.055         3.324        0.0567        0.1231       0.607
      21000         6.414         1.227         3.682        0.0570        0.1233       0.606
      22000         7.051         1.424         4.079        0.0576        0.1235       0.602
      23000         7.719         1.653         4.530        0.0585        0.1237       0.594
      24000         8.417         1.926         5.058        0.0600        0.1239       0.580
      25000         9.143         2.257         5.691        0.0622        0.1240       0.560


                       7x10.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.010         0.000         0.011        0.1274        0.1307       0.296
       2000         0.040         0.001         0.038        0.1111        0.1319       0.344
       3000         0.091         0.004         0.080        0.1044        0.1324       0.368
       4000         0.162         0.009         0.137        0.1005        0.1327       0.384
       5000         0.254         0.017         0.209        0.0980        0.1329       0.394
       6000         0.366         0.028         0.295        0.0962        0.1330       0.402
       7000         0.499         0.044         0.396        0.0949        0.1331       0.409
       8000         0.652         0.065         0.512        0.0938        0.1332       0.414
       9000         0.826         0.092         0.643        0.0931        0.1333       0.417
      10000         1.021         0.125         0.788        0.0925        0.1334       0.421
      11000         1.236         0.166         0.949        0.0920        0.1335       0.423
      12000         1.472         0.214         1.125        0.0916        0.1336       0.425
      13000         1.728         0.271         1.316        0.0914        0.1336       0.427
      14000         2.005         0.338         1.523        0.0912        0.1337       0.428
      15000         2.303         0.416         1.747        0.0911        0.1338       0.429
      16000         2.622         0.504         1.986        0.0910        0.1339       0.429
      17000         2.962         0.605         2.243        0.0910        0.1339       0.430
      18000         3.323         0.719         2.516        0.0911        0.1340       0.430
      19000         3.704         0.846         2.807        0.0912        0.1341       0.430
      20000         4.107         0.989         3.116        0.0914        0.1342       0.429
      21000         4.531         1.148         3.445        0.0916        0.1343       0.428
      22000         4.976         1.324         3.794        0.0919        0.1344       0.428
      23000         5.443         1.521         4.167        0.0924        0.1345       0.426
      24000         5.930         1.740         4.570        0.0931        0.1346       0.423
      25000         6.439         1.988         5.012        0.0941        0.1346       0.419
      26000         6.969         2.269         5.501        0.0955        0.1347       0.413
      27000         7.519         2.592         6.051        0.0974        0.1348       0.405
      28000         8.089         2.967         6.679        0.0999        0.1348       0.395


                       7x11E.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.011         0.000         0.013        0.1479        0.1488       0.310
       2000         0.046         0.001         0.047        0.1380        0.1496       0.335
       3000         0.103         0.005         0.102        0.1336        0.1499       0.347
       4000         0.184         0.011         0.179        0.1309        0.1502       0.354
       5000         0.288         0.022         0.275        0.1292        0.1503       0.360
       6000         0.414         0.037         0.393        0.1279        0.1504       0.364
       7000         0.564         0.059         0.531        0.1270        0.1505       0.367
       8000         0.738         0.087         0.689        0.1263        0.1506       0.369
       9000         0.934         0.124         0.868        0.1258        0.1507       0.371
      10000         1.154         0.170         1.069        0.1254        0.1508       0.373
      11000         1.396         0.225         1.290        0.1251        0.1508       0.374
      12000         1.663         0.292         1.533        0.1249        0.1509       0.375
      13000         1.952         0.371         1.797        0.1247        0.1510       0.375
      14000         2.265         0.463         2.083        0.1247        0.1510       0.376
      15000         2.601         0.569         2.392        0.1247        0.1511       0.376
      16000         2.961         0.691         2.722        0.1248        0.1512       0.376
      17000         3.344         0.830         3.076        0.1249        0.1512       0.376
      18000         3.751         0.986         3.453        0.1250        0.1513       0.375
      19000         4.181         1.162         3.855        0.1253        0.1514       0.375
      20000         4.634         1.358         4.280        0.1255        0.1514       0.375
      21000         5.112         1.576         4.731        0.1258        0.1515       0.374
      22000         5.613         1.818         5.209        0.1262        0.1516       0.373
      23000         6.138         2.086         5.717        0.1268        0.1516       0.372
      24000         6.686         2.384         6.261        0.1275        0.1517       0.370
      25000         7.257         2.716         6.848        0.1285        0.1517       0.367
      26000         7.851         3.089         7.489        0.1300        0.1518       0.363


                       7x3.dat                    

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.006         0.000         0.005        0.0561        0.0802       0.323
       2000         0.025         0.000         0.015        0.0442        0.0809       0.416
       3000         0.056         0.001         0.030        0.0392        0.0813       0.471
       4000         0.100         0.003         0.050        0.0364        0.0815       0.510
       5000         0.156         0.006         0.074        0.0345        0.0817       0.540
       6000         0.226         0.010         0.102        0.0332        0.0819       0.563
       7000         0.308         0.015         0.135        0.0322        0.0821       0.583
       8000         0.403         0.022         0.171        0.0314        0.0823       0.599
       9000         0.511         0.030         0.213        0.0308        0.0825       0.613
      10000         0.633         0.041         0.258        0.0303        0.0827       0.626
      11000         0.768         0.054         0.309        0.0299        0.0829       0.637
      12000         0.917         0.069         0.363        0.0296        0.0832       0.647
      13000         1.079         0.087         0.423        0.0293        0.0835       0.656
      14000         1.256         0.108         0.487        0.0291        0.0838       0.664
      15000         1.448         0.132         0.556        0.0290        0.0841       0.672
      16000         1.654         0.160         0.630        0.0289        0.0844       0.679
      17000         1.876         0.191         0.709        0.0288        0.0848       0.685
      18000         2.113         0.227         0.793        0.0287        0.0852       0.691
      19000         2.366         0.266         0.884        0.0287        0.0857       0.697
      20000         2.636         0.311         0.980        0.0287        0.0861       0.702
      21000         2.923         0.360         1.082        0.0288        0.0866       0.707
      22000         3.228         0.416         1.191        0.0289        0.0872       0.712
      23000         3.552         0.477         1.306        0.0290        0.0878       0.716
      24000         3.895         0.544         1.429        0.0291        0.0884       0.720
      25000         4.259         0.619         1.560        0.0293        0.0891       0.724
      26000         4.645         0.701         1.700        0.0295        0.0898       0.728
      27000         5.054         0.793         1.851        0.0298        0.0906       0.730
      28000         5.487         0.897         2.020        0.0302        0.0915       0.730
      29000         5.946         1.019         2.214        0.0309        0.0924       0.726
      30000         6.432         1.165         2.448        0.0319        0.0934       0.714
      31000         6.945         1.346         2.736        0.0334        0.0944       0.693
      32000         7.483         1.573         3.099        0.0355        0.0955       0.663


                       7x38WSF.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.013         0.000         0.007        0.0811        0.1709       0.695
       2000         0.052         0.001         0.027        0.0796        0.1711       0.710
       3000         0.118         0.003         0.060        0.0788        0.1712       0.717
       4000         0.210         0.007         0.107        0.0783        0.1714       0.723
       5000         0.328         0.013         0.166        0.0780        0.1715       0.727
       6000         0.473         0.023         0.239        0.0778        0.1717       0.730
       7000         0.645         0.036         0.325        0.0777        0.1720       0.732
       8000         0.843         0.054         0.424        0.0776        0.1722       0.734
       9000         1.069         0.077         0.536        0.0776        0.1725       0.736
      10000         1.322         0.105         0.662        0.0777        0.1728       0.738
      11000         1.603         0.140         0.802        0.0778        0.1731       0.739
      12000         1.912         0.182         0.956        0.0779        0.1735       0.740
      13000         2.249         0.232         1.124        0.0781        0.1739       0.741
      14000         2.614         0.290         1.308        0.0783        0.1743       0.742
      15000         3.010         0.358         1.506        0.0785        0.1748       0.743
      16000         3.434         0.436         1.719        0.0788        0.1753       0.744
      17000         3.889         0.526         1.948        0.0791        0.1759       0.744
      18000         4.375         0.627         2.194        0.0794        0.1765       0.745
      19000         4.893         0.741         2.457        0.0798        0.1771       0.745
      20000         5.443         0.869         2.737        0.0803        0.1778       0.745
      21000         6.026         1.012         3.036        0.0808        0.1786       0.746
      22000         6.643         1.171         3.354        0.0813        0.1794       0.746
      23000         7.295         1.347         3.692        0.0819        0.1802       0.746
      24000         7.983         1.542         4.051        0.0825        0.1811       0.746
      25000         8.710         1.758         4.432        0.0832        0.1821       0.745
      26000         9.475         1.996         4.838        0.0840        0.1832       0.745
      27000        10.281         2.258         5.270        0.0848        0.1843       0.744
      28000        11.130         2.546         5.731        0.0858        0.1855       0.744
      29000        12.024         2.865         6.227        0.0869        0.1868       0.742
      30000        12.964         3.223         6.772        0.0883        0.1883       0.738
      31000        13.955         3.633         7.386        0.0902        0.1898       0.732
      32000        14.997         4.112         8.098        0.0928        0.1914       0.720


                       7x4.dat                    

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.008         0.000         0.006        0.0747        0.1086       0.382
       2000         0.034         0.001         0.021        0.0612        0.1096       0.473
       3000         0.076         0.002         0.043        0.0555        0.1100       0.524
       4000         0.135         0.005         0.071        0.0523        0.1103       0.559
       5000         0.211         0.008         0.107        0.0502        0.1105       0.584
       6000         0.305         0.014         0.149        0.0487        0.1108       0.604
       7000         0.416         0.022         0.199        0.0476        0.1110       0.620
       8000         0.545         0.032         0.255        0.0467        0.1112       0.634
       9000         0.691         0.045         0.318        0.0460        0.1115       0.645
      10000         0.855         0.062         0.388        0.0455        0.1117       0.655
      11000         1.037         0.081         0.465        0.0451        0.1120       0.664
      12000         1.237         0.105         0.549        0.0447        0.1123       0.671
      13000         1.456         0.132         0.641        0.0445        0.1126       0.678
      14000         1.694         0.164         0.740        0.0443        0.1130       0.684
      15000         1.951         0.202         0.847        0.0442        0.1133       0.689
      16000         2.227         0.244         0.962        0.0441        0.1137       0.694
      17000         2.524         0.293         1.084        0.0440        0.1141       0.699
      18000         2.840         0.347         1.216        0.0440        0.1146       0.703
      19000         3.178         0.409         1.356        0.0441        0.1150       0.707
      20000         3.537         0.478         1.505        0.0441        0.1156       0.710
      21000         3.918         0.554         1.664        0.0443        0.1161       0.713
      22000         4.321         0.640         1.833        0.0444        0.1167       0.716
      23000         4.748         0.734         2.012        0.0446        0.1173       0.719
      24000         5.199         0.839         2.203        0.0449        0.1180       0.721
      25000         5.675         0.956         2.410        0.0452        0.1187       0.721
      26000         6.177         1.088         2.638        0.0458        0.1194       0.719
      27000         6.705         1.241         2.898        0.0466        0.1202       0.713
      28000         7.260         1.423         3.203        0.0479        0.1210       0.701
      29000         7.841         1.643         3.570        0.0498        0.1219       0.682
      30000         8.450         1.914         4.022        0.0524        0.1227       0.654


                       7x41SF.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.010         0.000         0.005        0.0575        0.1336       0.678
       2000         0.041         0.001         0.019        0.0561        0.1337       0.695
       3000         0.092         0.002         0.043        0.0555        0.1339       0.705
       4000         0.164         0.005         0.075        0.0550        0.1340       0.711
       5000         0.256         0.009         0.117        0.0547        0.1341       0.716
       6000         0.370         0.016         0.167        0.0545        0.1342       0.720
       7000         0.504         0.025         0.227        0.0544        0.1344       0.723
       8000         0.659         0.038         0.296        0.0543        0.1345       0.725
       9000         0.835         0.053         0.375        0.0543        0.1347       0.727
      10000         1.032         0.073         0.462        0.0542        0.1349       0.729
      11000         1.251         0.098         0.560        0.0543        0.1351       0.730
      12000         1.491         0.127         0.667        0.0543        0.1354       0.732
      13000         1.754         0.162         0.783        0.0544        0.1356       0.733
      14000         2.038         0.202         0.910        0.0545        0.1359       0.734
      15000         2.345         0.249         1.047        0.0546        0.1362       0.734
      16000         2.674         0.303         1.195        0.0548        0.1365       0.735
      17000         3.027         0.365         1.353        0.0549        0.1369       0.736
      18000         3.403         0.435         1.522        0.0551        0.1373       0.736
      19000         3.802         0.513         1.703        0.0553        0.1377       0.736
      20000         4.226         0.601         1.895        0.0556        0.1381       0.737
      21000         4.674         0.700         2.100        0.0558        0.1385       0.737
      22000         5.147         0.809         2.316        0.0561        0.1390       0.737
      23000         5.646         0.929         2.546        0.0565        0.1395       0.736
      24000         6.171         1.062         2.789        0.0568        0.1400       0.736
      25000         6.722         1.208         3.047        0.0572        0.1406       0.735
      26000         7.301         1.369         3.319        0.0576        0.1412       0.735
      27000         7.907         1.546         3.609        0.0581        0.1418       0.733


                       7x4E.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.009         0.000         0.006        0.0683        0.1227       0.502
       2000         0.038         0.001         0.021        0.0610        0.1232       0.566
       3000         0.085         0.002         0.044        0.0577        0.1235       0.600
       4000         0.151         0.005         0.076        0.0558        0.1237       0.623
       5000         0.237         0.009         0.116        0.0545        0.1239       0.639
       6000         0.342         0.016         0.164        0.0536        0.1241       0.651
       7000         0.466         0.025         0.221        0.0529        0.1243       0.662
       8000         0.610         0.036         0.285        0.0523        0.1245       0.670
       9000         0.773         0.051         0.358        0.0519        0.1247       0.677
      10000         0.956         0.070         0.440        0.0516        0.1250       0.684
      11000         1.159         0.092         0.529        0.0513        0.1252       0.689
      12000         1.383         0.119         0.628        0.0511        0.1255       0.694
      13000         1.627         0.152         0.735        0.0510        0.1258       0.698
      14000         1.891         0.189         0.851        0.0509        0.1261       0.702
      15000         2.177         0.232         0.976        0.0509        0.1265       0.706
      16000         2.485         0.282         1.110        0.0509        0.1268       0.709
      17000         2.814         0.338         1.254        0.0509        0.1272       0.712
      18000         3.165         0.402         1.408        0.0510        0.1277       0.714
      19000         3.539         0.474         1.571        0.0511        0.1281       0.717
      20000         3.937         0.554         1.746        0.0512        0.1286       0.719
      21000         4.358         0.643         1.931        0.0514        0.1291       0.721
      22000         4.804         0.743         2.128        0.0516        0.1297       0.723
      23000         5.275         0.853         2.336        0.0518        0.1303       0.724
      24000         5.772         0.974         2.558        0.0521        0.1310       0.726
      25000         6.296         1.108         2.792        0.0524        0.1316       0.727
      26000         6.847         1.255         3.043        0.0528        0.1324       0.728
      27000         7.428         1.421         3.317        0.0534        0.1332       0.726
      28000         8.038         1.610         3.625        0.0542        0.1340       0.721
      29000         8.679         1.832         3.981        0.0555        0.1349       0.712


                       7x4F.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.006         0.000         0.004        0.0489        0.0844       0.401
       2000         0.026         0.000         0.014        0.0423        0.0848       0.466
       3000         0.059         0.001         0.030        0.0394        0.0850       0.502
       4000         0.104         0.003         0.051        0.0377        0.0852       0.526
       5000         0.163         0.006         0.078        0.0366        0.0853       0.544
       6000         0.235         0.010         0.110        0.0357        0.0854       0.558
       7000         0.321         0.016         0.147        0.0351        0.0856       0.569
       8000         0.420         0.024         0.189        0.0346        0.0858       0.579
       9000         0.533         0.034         0.236        0.0342        0.0859       0.587
      10000         0.659         0.046         0.289        0.0339        0.0861       0.594
      11000         0.799         0.061         0.348        0.0337        0.0863       0.601
      12000         0.954         0.078         0.411        0.0335        0.0866       0.606
      13000         1.122         0.099         0.481        0.0334        0.0868       0.611
      14000         1.306         0.124         0.556        0.0333        0.0871       0.616
      15000         1.504         0.152         0.637        0.0332        0.0874       0.620
      16000         1.717         0.184         0.724        0.0332        0.0877       0.624
      17000         1.946         0.221         0.818        0.0332        0.0880       0.627
      18000         2.190         0.262         0.918        0.0332        0.0883       0.631
      19000         2.451         0.309         1.024        0.0333        0.0887       0.633
      20000         2.728         0.361         1.138        0.0334        0.0891       0.636
      21000         3.022         0.419         1.259        0.0335        0.0896       0.639
      22000         3.334         0.484         1.387        0.0336        0.0900       0.641
      23000         3.665         0.556         1.524        0.0338        0.0905       0.643
      24000         4.014         0.635         1.669        0.0340        0.0911       0.645
      25000         4.382         0.723         1.823        0.0342        0.0916       0.647
      26000         4.771         0.822         1.992        0.0346        0.0922       0.647
      27000         5.180         0.935         2.182        0.0351        0.0929       0.643
      28000         5.612         1.068         2.404        0.0360        0.0935       0.635
      29000         6.065         1.229         2.672        0.0373        0.0942       0.619
      30000         6.540         1.430         3.004        0.0392        0.0950       0.596
      31000         7.032         1.680         3.415        0.0417        0.0956       0.566
      32000         7.531         1.983         3.906        0.0447        0.0961       0.531
      33000         8.016         2.332         4.454        0.0480        0.0962       0.496
      34000         8.466         2.706         5.016        0.0509        0.0957       0.464


                       7x4SF.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.010         0.000         0.005        0.0597        0.1372       0.679
       2000         0.042         0.001         0.020        0.0584        0.1373       0.696
       3000         0.095         0.002         0.044        0.0577        0.1375       0.705
       4000         0.168         0.005         0.078        0.0573        0.1376       0.711
       5000         0.263         0.010         0.121        0.0570        0.1377       0.716
       6000         0.380         0.017         0.174        0.0568        0.1379       0.719
       7000         0.517         0.026         0.237        0.0567        0.1380       0.722
       8000         0.677         0.039         0.309        0.0566        0.1382       0.724
       9000         0.858         0.056         0.391        0.0566        0.1384       0.726
      10000         1.061         0.076         0.482        0.0566        0.1386       0.728
      11000         1.286         0.102         0.584        0.0566        0.1389       0.730
      12000         1.533         0.132         0.696        0.0567        0.1392       0.731
      13000         1.804         0.169         0.818        0.0568        0.1395       0.732
      14000         2.097         0.211         0.951        0.0569        0.1398       0.733
      15000         2.413         0.260         1.094        0.0571        0.1402       0.734
      16000         2.753         0.317         1.249        0.0572        0.1405       0.734
      17000         3.117         0.382         1.415        0.0574        0.1410       0.735
      18000         3.505         0.455         1.593        0.0577        0.1414       0.735
      19000         3.919         0.538         1.783        0.0579        0.1419       0.736
      20000         4.357         0.630         1.986        0.0582        0.1424       0.736
      21000         4.822         0.733         2.201        0.0586        0.1429       0.736
      22000         5.313         0.848         2.431        0.0589        0.1435       0.736
      23000         5.831         0.976         2.674        0.0593        0.1441       0.736
      24000         6.378         1.116         2.932        0.0597        0.1447       0.736
      25000         6.953         1.271         3.205        0.0602        0.1454       0.735
      26000         7.557         1.442         3.495        0.0607        0.1461       0.735
      27000         8.192         1.629         3.804        0.0612        0.1469       0.734
      28000         8.857         1.838         4.137        0.0619        0.1477       0.731
      29000         9.555         2.074         4.508        0.0629        0.1485       0.726
      30000        10.284         2.349         4.935        0.0643        0.1493       0.716
      31000        11.045         2.676         5.441        0.0664        0.1502       0.699
      32000        11.838         3.075         6.056        0.0694        0.1511       0.675


                       7x5.dat                    

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.009         0.000         0.007        0.0839        0.1176       0.384
       2000         0.036         0.001         0.024        0.0694        0.1187       0.470
       3000         0.082         0.002         0.049        0.0633        0.1191       0.518
       4000         0.146         0.005         0.082        0.0599        0.1194       0.550
       5000         0.229         0.010         0.123        0.0576        0.1197       0.573
       6000         0.330         0.016         0.172        0.0560        0.1199       0.592
       7000         0.450         0.025         0.229        0.0548        0.1201       0.606
       8000         0.589         0.037         0.294        0.0539        0.1203       0.618
       9000         0.747         0.052         0.367        0.0531        0.1205       0.628
      10000         0.924         0.071         0.448        0.0525        0.1207       0.637
      11000         1.120         0.094         0.537        0.0521        0.1210       0.645
      12000         1.336         0.121         0.635        0.0517        0.1212       0.651
      13000         1.571         0.153         0.741        0.0514        0.1215       0.657
      14000         1.826         0.190         0.855        0.0512        0.1218       0.662
      15000         2.101         0.233         0.979        0.0510        0.1220       0.667
      16000         2.397         0.282         1.111        0.0509        0.1224       0.671
      17000         2.713         0.338         1.252        0.0508        0.1227       0.675
      18000         3.050         0.401         1.403        0.0508        0.1230       0.678
      19000         3.409         0.471         1.563        0.0508        0.1234       0.681
      20000         3.789         0.550         1.734        0.0508        0.1238       0.683
      21000         4.191         0.638         1.914        0.0509        0.1242       0.686
      22000         4.615         0.735         2.105        0.0510        0.1246       0.688
      23000         5.062         0.842         2.308        0.0512        0.1251       0.690
      24000         5.533         0.961         2.524        0.0514        0.1255       0.690
      25000         6.026         1.095         2.760        0.0518        0.1260       0.689
      26000         6.543         1.248         3.024        0.0525        0.1265       0.684
      27000         7.084         1.425         3.327        0.0535        0.1270       0.674
      28000         7.647         1.637         3.684        0.0551        0.1275       0.659
      29000         8.232         1.892         4.113        0.0574        0.1279       0.636


                       7x5E.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.011         0.000         0.007        0.0824        0.1379       0.496
       2000         0.042         0.001         0.025        0.0742        0.1385       0.555
       3000         0.096         0.003         0.054        0.0705        0.1389       0.586
       4000         0.170         0.006         0.093        0.0683        0.1391       0.606
       5000         0.266         0.011         0.143        0.0669        0.1393       0.620
       6000         0.384         0.019         0.202        0.0658        0.1395       0.632
       7000         0.524         0.030         0.272        0.0650        0.1397       0.641
       8000         0.685         0.045         0.351        0.0644        0.1399       0.648
       9000         0.868         0.063         0.441        0.0639        0.1401       0.654
      10000         1.073         0.086         0.542        0.0635        0.1403       0.660
      11000         1.301         0.114         0.652        0.0633        0.1405       0.664
      12000         1.551         0.147         0.774        0.0630        0.1408       0.669
      13000         1.824         0.187         0.906        0.0629        0.1410       0.672
      14000         2.119         0.233         1.049        0.0628        0.1413       0.675
      15000         2.438         0.286         1.202        0.0627        0.1416       0.678
      16000         2.780         0.347         1.368        0.0627        0.1419       0.681
      17000         3.146         0.417         1.544        0.0627        0.1423       0.683
      18000         3.536         0.495         1.733        0.0627        0.1426       0.685
      19000         3.950         0.583         1.933        0.0628        0.1430       0.687
      20000         4.390         0.681         2.146        0.0629        0.1434       0.688
      21000         4.854         0.790         2.372        0.0631        0.1439       0.690
      22000         5.345         0.911         2.611        0.0633        0.1443       0.691
      23000         5.861         1.045         2.864        0.0635        0.1448       0.692
      24000         6.405         1.193         3.132        0.0638        0.1453       0.693
      25000         6.976         1.356         3.418        0.0642        0.1459       0.693
      26000         7.574         1.538         3.729        0.0647        0.1464       0.691
      27000         8.200         1.746         4.076        0.0656        0.1470       0.686
      28000         8.855         1.987         4.472        0.0669        0.1476       0.676


                       7x5SF.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.012         0.000         0.006        0.0720        0.1504       0.646
       2000         0.046         0.001         0.024        0.0704        0.1505       0.662
       3000         0.104         0.003         0.053        0.0696        0.1507       0.670
       4000         0.185         0.006         0.094        0.0691        0.1508       0.676
       5000         0.289         0.012         0.146        0.0687        0.1509       0.680
       6000         0.416         0.020         0.210        0.0685        0.1510       0.684
       7000         0.567         0.032         0.285        0.0683        0.1511       0.686
       8000         0.741         0.047         0.372        0.0682        0.1512       0.688
       9000         0.938         0.067         0.470        0.0681        0.1514       0.690
      10000         1.160         0.092         0.580        0.0681        0.1516       0.692
      11000         1.405         0.123         0.702        0.0681        0.1518       0.693
      12000         1.674         0.159         0.836        0.0681        0.1520       0.694
      13000         1.968         0.203         0.982        0.0682        0.1522       0.695
      14000         2.286         0.253         1.141        0.0683        0.1524       0.695
      15000         2.628         0.312         1.312        0.0684        0.1527       0.696
      16000         2.995         0.380         1.496        0.0685        0.1529       0.696
      17000         3.388         0.457         1.693        0.0687        0.1532       0.696
      18000         3.806         0.544         1.903        0.0689        0.1535       0.696
      19000         4.249         0.641         2.127        0.0691        0.1538       0.696
      20000         4.718         0.751         2.366        0.0694        0.1542       0.696
      21000         5.214         0.872         2.618        0.0696        0.1545       0.696
      22000         5.736         1.007         2.886        0.0699        0.1549       0.696
      23000         6.286         1.156         3.169        0.0703        0.1553       0.695
      24000         6.863         1.320         3.468        0.0706        0.1557       0.694
      25000         7.468         1.501         3.783        0.0710        0.1562       0.693
      26000         8.101         1.699         4.118        0.0715        0.1566       0.692
      27000         8.763         1.918         4.478        0.0721        0.1571       0.689
      28000         9.454         2.166         4.876        0.0730        0.1576       0.684
      29000        10.173         2.450         5.325        0.0743        0.1581       0.675
      30000        10.921         2.783         5.847        0.0762        0.1586       0.661
      31000        11.697         3.181         6.467        0.0789        0.1591       0.641


                       7x6.dat                    

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.009         0.000         0.008        0.0928        0.1239       0.375
       2000         0.038         0.001         0.026        0.0776        0.1250       0.455
       3000         0.086         0.003         0.055        0.0712        0.1255       0.498
       4000         0.154         0.006         0.092        0.0676        0.1258       0.527
       5000         0.241         0.011         0.139        0.0652        0.1261       0.548
       6000         0.348         0.019         0.195        0.0635        0.1263       0.564
       7000         0.474         0.029         0.260        0.0622        0.1264       0.577
       8000         0.620         0.042         0.334        0.0612        0.1266       0.587
       9000         0.786         0.060         0.417        0.0604        0.1268       0.596
      10000         0.971         0.081         0.510        0.0598        0.1269       0.604
      11000         1.177         0.107         0.612        0.0593        0.1271       0.610
      12000         1.403         0.138         0.723        0.0589        0.1273       0.615
      13000         1.648         0.174         0.844        0.0586        0.1275       0.620
      14000         1.915         0.216         0.974        0.0583        0.1277       0.624
      15000         2.202         0.265         1.114        0.0581        0.1279       0.628
      16000         2.509         0.321         1.265        0.0579        0.1281       0.631
      17000         2.837         0.384         1.425        0.0578        0.1283       0.634
      18000         3.187         0.456         1.596        0.0578        0.1285       0.636
      19000         3.557         0.536         1.777        0.0577        0.1288       0.638
      20000         3.949         0.625         1.969        0.0578        0.1290       0.640
      21000         4.362         0.724         2.173        0.0578        0.1293       0.642
      22000         4.797         0.833         2.388        0.0579        0.1295       0.643
      23000         5.254         0.955         2.616        0.0580        0.1298       0.643
      24000         5.733         1.090         2.862        0.0583        0.1301       0.642
      25000         6.233         1.242         3.132        0.0588        0.1303       0.639
      26000         6.755         1.416         3.434        0.0596        0.1306       0.632
      27000         7.298         1.619         3.780        0.0608        0.1308       0.621
      28000         7.862         1.860         4.186        0.0626        0.1311       0.604
      29000         8.445         2.148         4.669        0.0651        0.1312       0.582


                       7x6E.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.011         0.000         0.008        0.0942        0.1464       0.475
       2000         0.045         0.001         0.029        0.0853        0.1471       0.528
       3000         0.102         0.003         0.062        0.0813        0.1475       0.556
       4000         0.181         0.007         0.108        0.0789        0.1477       0.574
       5000         0.283         0.013         0.165        0.0773        0.1479       0.587
       6000         0.408         0.022         0.234        0.0762        0.1481       0.597
       7000         0.556         0.035         0.314        0.0753        0.1483       0.605
       8000         0.727         0.052         0.407        0.0746        0.1484       0.612
