       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance File Names ==========================

       FILE NAME                       TITLE  
       PER3_5x5F.dat                   5x5F                
       PER3_5x75E.dat                  5x7.5E              
       PER3_63x4.dat                   6.3x4               
       PER3_65x29.dat                  6.5x2.9             
       PER3_65x37.dat                  6.5x3.7             
       PER3_65x50.dat                  6.5x5.0             
       PER3_65x55.dat                  6.5x5.5             
       PER3_65x60.dat                  6.5x6.0             
       PER3_65x65.dat                  6.5x6.5             
       PER3_65x70.dat                  6.5x7.0             
       PER3_65x75.dat                  6.5x7.5             
       PER3_6x2.dat                    6x2                 
       PER3_6x3.dat                    6x3                 
       PER3_6x31SF.dat                 6x3.1SF             
       PER3_6x3F.dat                   6x3F                
       PER3_6x3R-RH.dat                6x3R-RH             
       PER3_6x4.dat                    6x4                 
       PER3_6x41SF.dat                 6x4.1SF             
       PER3_6x42E-3.dat                6x4.2E-3            
       PER3_6x45E.dat                  6x4.5E              
       PER3_6x4E.dat                   6x4E                
       PER3_6x5.dat                    6x5                 
       PER3_6x55E.dat                  6x5.5E              
       PER3_6x6E.dat                   6x6E                
       PER3_74x75C.dat                 7.4x7.5C            
       PER3_74x76C.dat                 7.4x7.6C            
       PER3_74x77C.dat                 7.4x7.7C            
       PER3_78x4.dat                   7.8x4               
       PER3_78x6.dat                   7.8x6               
       PER3_78x7.dat                   7.8x7               
       PER3_7x10.dat                   7x10                
       PER3_7x11E.dat                  7x11E               
       PER3_7x3.dat                    7x3                 
       PER3_7x38WSF.dat                7x3.8WSF            
       PER3_7x4.dat                    7x4                 
       PER3_7x41SF.dat                 7x4.1SF             
       PER3_7x4E.dat                   7x4E                
       PER3_7x4F.dat                   7x4F                
       PER3_7x4SF.dat                  7x4SF               
       PER3_7x5.dat                    7x5                 
       PER3_7x5E.dat                   7x5E                
       PER3_7x5SF.dat                  7x5SF               
       PER3_7x6.dat                    7x6                 
       PER3_7x6E.dat                   7x6E                
       PER3_7x6F.dat                   7x6F                
       PER3_7x6SF.dat                  7x6SF               
       PER3_7x6W.dat                   7x6W                
       PER3_7x7.dat                    7x7                 
       PER3_7x7E.dat                   7x7E                
       PER3_7x8.dat                    7x8                 
       PER3_7x9.dat                    7x9                 
       PER3_8625x375.dat               8.625x3.75          
       PER3_875x50.dat                 8.75x5.0            
       PER3_875x70N.dat                8.75x7.0N           
       PER3_875x75N.dat                8.75x7.5N           
       PER3_875x75NN.dat               8.75x7.5NN          
       PER3_875x75W.dat                8.75x7.5W           
       PER3_875x775NN.dat              8.75x7.75NN         
       PER3_875x80NN.dat               8.75x8.0NN          
       PER3_875x825NN.dat              8.75x8.25NN         
       PER3_875x85N.dat                8.75x8.5N           
       PER3_875x875NN.dat              8.75x8.75NN         
       PER3_875x875W.dat               8.75x8.75W          
       PER3_875x90NN.dat               8.75x9.0NN          
       PER3_875x90W.dat                8.75x9.0W           
       PER3_875x925NN.dat              8.75x9.25NN         
       PER3_875x925W.dat               8.75x9.25W          
       PER3_88x85.dat                  8.8x8.5             
       PER3_88x875.dat                 8.8x8.75            
       PER3_88x89.dat                  8.8x8.9             
       PER3_88x90.dat                  8.8x9.0             
