         13x5.5MRF-RH             (13x55MRF-RH.dat)
         v2022-0915
         Simulation Date: 03/31/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       11.97      0.3242      0.5478      0.0455      0.0269       0.022       0.456       0.372      16.185       0.052       1.657      10.437        0.16      63395.    0.2875
       12.68      0.3433      0.5509      0.0417      0.0260       0.021       0.440       0.342      15.630       0.050       1.520       9.913        0.16      63474.    0.2615
       13.38      0.3623      0.5489      0.0379      0.0250       0.020       0.424       0.310      15.036       0.048       1.380       9.357        0.16      63555.    0.2352
       14.09      0.3814      0.5410      0.0340      0.0239       0.019       0.406       0.278      14.402       0.046       1.237       8.761        0.16      63639.    0.2086
       14.79      0.4005      0.5263      0.0300      0.0228       0.018       0.387       0.246      13.727       0.044       1.093       8.117        0.16      63725.    0.1816
       15.49      0.4195      0.5035      0.0260      0.0216       0.017       0.367       0.213      13.013       0.041       0.946       7.413        0.16      63815.    0.1543
       16.20      0.4386      0.4711      0.0219      0.0204       0.016       0.345       0.179      12.259       0.039       0.798       6.635        0.16      63908.    0.1268
       16.90      0.4577      0.4270      0.0178      0.0191       0.015       0.323       0.146      11.467       0.037       0.648       5.762        0.16      64003.    0.0993
       17.61      0.4767      0.3681      0.0137      0.0177       0.014       0.300       0.112      10.638       0.034       0.498       4.769        0.16      64101.    0.0720
       18.31      0.4958      0.2906      0.0095      0.0162       0.013       0.275       0.078       9.773       0.031       0.347       3.620        0.16      64203.    0.0456
       19.02      0.5149      0.1883      0.0054      0.0148       0.012       0.250       0.044       8.876       0.028       0.197       2.259        0.16      64306.    0.0214
       19.72      0.5340      0.0516      0.0013      0.0132       0.011       0.224       0.010       7.942       0.025       0.046       0.597        0.16      64408.    0.0028
       20.42      0.5530



         PROP RPM =       4000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.0944      0.0325       0.062       0.980       1.374      46.379       0.111       6.114      13.442        0.21      83269.    0.7113
        0.94      0.0191      0.0541      0.0924      0.0326       0.062       0.981       1.346      46.440       0.111       5.985      13.141        0.21      83318.    0.6880
        1.88      0.0382      0.1058      0.0903      0.0326       0.062       0.981       1.315      46.441       0.111       5.849      12.842        0.21      83370.    0.6647
        2.82      0.0572      0.1550      0.0881      0.0325       0.062       0.980       1.283      46.374       0.111       5.705      12.544        0.21      83425.    0.6412
        3.76      0.0763      0.2018      0.0858      0.0324       0.062       0.977       1.249      46.249       0.110       5.555      12.247        0.21      83483.    0.6177
        4.70      0.0954      0.2461      0.0833      0.0323       0.062       0.973       1.214      46.064       0.110       5.398      11.950        0.21      83544.    0.5942
        5.64      0.1145      0.2880      0.0808      0.0321       0.061       0.968       1.177      45.794       0.109       5.233      11.653        0.21      83608.    0.5705
        6.58      0.1336      0.3274      0.0781      0.0319       0.061       0.960       1.138      45.453       0.109       5.062      11.356        0.21      83675.    0.5468
        7.52      0.1526      0.3644      0.0754      0.0316       0.060       0.952       1.098      45.039       0.108       4.883      11.057        0.21      83745.    0.5229
        8.46      0.1717      0.3988      0.0725      0.0312       0.060       0.941       1.056      44.534       0.106       4.698      10.756        0.21      83819.    0.4989
        9.40      0.1908      0.4305      0.0695      0.0308       0.059       0.928       1.012      43.938       0.105       4.503      10.452        0.21      83895.    0.4747
       10.34      0.2099      0.4596      0.0664      0.0303       0.058       0.914       0.967      43.245       0.103       4.301      10.143        0.21      83975.    0.4502
       11.28      0.2290      0.4858      0.0632      0.0298       0.057       0.897       0.920      42.460       0.101       4.092       9.829        0.21      84059.    0.4255
       12.21      0.2481      0.5091      0.0599      0.0292       0.056       0.879       0.872      41.583       0.099       3.877       9.508        0.21      84145.    0.4006
       13.15      0.2671      0.5293      0.0564      0.0285       0.054       0.858       0.822      40.612       0.097       3.655       9.178        0.21      84236.    0.3755
       14.09      0.2862      0.5461      0.0529      0.0277       0.053       0.836       0.771      39.548       0.094       3.428       8.838        0.21      84329.    0.3502
       15.03      0.3053      0.5592      0.0493      0.0269       0.051       0.811       0.718      38.387       0.092       3.194       8.485        0.21      84427.    0.3245
       15.97      0.3244      0.5683      0.0456      0.0260       0.050       0.785       0.664      37.130       0.089       2.955       8.116        0.21      84528.    0.2986
       16.91      0.3435      0.5730      0.0419      0.0251       0.048       0.756       0.610      35.773       0.085       2.711       7.728        0.21      84632.    0.2723
       17.85      0.3625      0.5726      0.0380      0.0241       0.046       0.725       0.554      34.318       0.082       2.462       7.316        0.21      84741.    0.2457
       18.79      0.3816      0.5663      0.0341      0.0230       0.044       0.692       0.497      32.763       0.078       2.209       6.874        0.21      84853.    0.2186
       19.73      0.4007      0.5532      0.0301      0.0218       0.042       0.657       0.439      31.108       0.074       1.951       6.396        0.21      84969.    0.1912
       20.67      0.4198      0.5320      0.0261      0.0206       0.039       0.620       0.380      29.353       0.070       1.690       5.871        0.21      85088.    0.1633
       21.61      0.4389      0.5009      0.0220      0.0193       0.037       0.581       0.321      27.501       0.066       1.426       5.288        0.21      85212.    0.1351
       22.55      0.4579      0.4576      0.0179      0.0179       0.034       0.540       0.261      25.553       0.061       1.160       4.628        0.21      85339.    0.1067
       23.49      0.4770      0.3985      0.0138      0.0165       0.032       0.497       0.201      23.512       0.056       0.892       3.870        0.21      85471.    0.0782
       24.43      0.4961      0.3189      0.0096      0.0150       0.029       0.452       0.140      21.384       0.051       0.625       2.978        0.21      85605.    0.0504
       25.37      0.5152      0.2114      0.0055      0.0134       0.026       0.405       0.080      19.173       0.046       0.357       1.901        0.21      85743.    0.0243
       26.31      0.5343      0.0631      0.0014      0.0118       0.023       0.357       0.020      16.873       0.040       0.091       0.547        0.21      85880.    0.0035
       27.25      0.5534



         PROP RPM =       5000

