         20x15(WCAR-T6)           (20x15(WCAR-T6).dat)
         v2022-0915
         Simulation Date: 10/10/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       20.43      0.2158      0.4439      0.0975      0.0474       1.526      19.236      12.432    1137.906       2.173      55.297       4.955        0.40     191870.    0.5126
       23.35      0.2466      0.4888      0.0954      0.0481       1.549      19.529      12.162    1155.227       2.206      54.097       4.775        0.40     192184.    0.4886
       26.27      0.2774      0.5302      0.0929      0.0486       1.565      19.725      11.845    1166.866       2.229      52.685       4.604        0.40     192525.    0.4649
       29.19      0.3082      0.5685      0.0901      0.0488       1.572      19.815      11.480    1172.157       2.239      51.064       4.442        0.40     192892.    0.4416
       32.11      0.3391      0.6037      0.0869      0.0488       1.570      19.791      11.071    1170.740       2.236      49.244       4.289        0.40     193286.    0.4187
       35.03      0.3699      0.6363      0.0833      0.0484       1.559      19.651      10.621    1162.497       2.220      47.242       4.144        0.40     193706.    0.3962
       37.95      0.4007      0.6664      0.0795      0.0478       1.539      19.398      10.134    1147.480       2.192      45.076       4.006        0.40     194153.    0.3741
       40.86      0.4315      0.6939      0.0754      0.0469       1.510      19.032       9.615    1125.827       2.150      42.766       3.874        0.40     194626.    0.3524
       43.78      0.4624      0.7191      0.0711      0.0457       1.472      18.556       9.067    1097.708       2.096      40.329       3.746        0.40     195126.    0.3310
       46.70      0.4932      0.7418      0.0666      0.0443       1.426      17.974       8.494    1063.293       2.031      37.781       3.623        0.40     195651.    0.3098
       49.62      0.5240      0.7621      0.0620      0.0426       1.372      17.289       7.899    1022.737       1.953      35.137       3.503        0.40     196203.    0.2889
       52.54      0.5548      0.7798      0.0572      0.0407       1.309      16.502       7.286     976.173       1.864      32.409       3.385        0.40     196782.    0.2681
       55.46      0.5857      0.7947      0.0522      0.0385       1.239      15.615       6.656     923.716       1.764      29.608       3.269        0.40     197386.    0.2474
       58.38      0.6165      0.8065      0.0472      0.0361       1.161      14.630       6.013     865.472       1.653      26.745       3.151        0.40     198016.    0.2267
       61.30      0.6473      0.8146      0.0420      0.0334       1.075      13.550       5.357     801.554       1.531      23.829       3.032        0.40     198672.    0.2059
       64.22      0.6781      0.8184      0.0368      0.0305       0.982      12.376       4.692     732.102       1.398      20.872       2.907        0.41     199353.    0.1848
       67.13      0.7089      0.8166      0.0315      0.0274       0.881      11.112       4.021     657.312       1.255      17.884       2.774        0.41     200060.    0.1632
       70.05      0.7398      0.8070      0.0262      0.0241       0.774       9.762       3.345     577.452       1.103      14.880       2.628        0.41     200792.    0.1410
       72.97      0.7706      0.7858      0.0209      0.0205       0.661       8.332       2.669     492.878       0.941      11.873       2.456        0.41     201549.    0.1177
       75.89      0.8014      0.7456      0.0157      0.0168       0.542       6.829       1.996     403.988       0.772       8.878       2.241        0.41     202329.    0.0929
       78.81      0.8322      0.6686      0.0104      0.0130       0.417       5.259       1.327     311.124       0.594       5.904       1.935        0.41     203130.    0.0654
       81.73      0.8631      0.5029      0.0052      0.0089       0.287       3.623       0.663     214.328       0.409       2.950       1.404        0.41     203938.    0.0335
       84.65      0.8939     -0.0632     -0.0003      0.0044       0.143       1.798      -0.040     106.343       0.203      -0.178      -0.170        0.41     204302.    0.0000



         PROP RPM =       6000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1054      0.0394       2.193      23.038      19.340    1635.423       2.603      86.022       5.364        0.48     228400.    0.6920
        3.56      0.0314      0.0809      0.1048      0.0406       2.260      23.743      19.245    1685.467       2.683      85.600       5.179        0.48     228588.    0.6665
        7.13      0.0627      0.1560      0.1042      0.0419       2.330      24.475      19.130    1737.395       2.765      85.092       4.994        0.48     228799.    0.6409
       10.69      0.0941      0.2255      0.1035      0.0432       2.401      25.220      18.991    1790.267       2.849      84.474       4.812        0.48     229036.    0.6152
       14.25      0.1254      0.2894      0.1025      0.0444       2.471      25.960      18.820    1842.849       2.933      83.713       4.632        0.48     229300.    0.5896
       17.82      0.1568      0.3481      0.1014      0.0457       2.539      26.674      18.609    1893.509       3.014      82.771       4.457        0.48     229594.    0.5641
       21.38      0.1881      0.4019      0.0999      0.0468       2.602      27.332      18.346    1940.206       3.088      81.602       4.289        0.48     229918.    0.5389
       24.94      0.2195      0.4513      0.0982      0.0478       2.656      27.901      18.022    1980.615       3.152      80.161       4.127        0.48     230273.    0.5140
       28.50      0.2508      0.4965      0.0960      0.0485       2.699      28.349      17.628    2012.434       3.203      78.411       3.973        0.48     230661.    0.4894
       32.07      0.2822      0.5381      0.0935      0.0490       2.727      28.650      17.162    2033.794       3.237      76.338       3.827        0.48     231081.    0.4652
       35.63      0.3135      0.5764      0.0906      0.0493       2.740      28.786      16.624    2043.428       3.252      73.944       3.690        0.48     231535.    0.4414
       39.19      0.3449      0.6117      0.0873      0.0492       2.737      28.747      16.018    2040.656       3.248      71.246       3.560        0.48     232022.    0.4180
       42.76      0.3763      0.6443      0.0836      0.0488       2.716      28.530      15.348    2025.266       3.223      68.270       3.437        0.48     232542.    0.3951
       46.32      0.4076      0.6743      0.0797      0.0482       2.679      28.137      14.623    1997.367       3.179      65.045       3.321        0.48     233096.    0.3726
