         9x4M-LH                  (9x4M-LH.dat)
         v2022-0915
         Simulation Date: 11/15/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
        1.33      0.5209      0.3870      0.0174      0.0234       0.002       0.503       0.262       1.784       0.057       1.165      66.577       11.89      43674.    0.0781
        1.38      0.5418      0.3300      0.0130      0.0214       0.002       0.461       0.197       1.635       0.052       0.875      54.583       11.90      43757.    0.0555
        1.43      0.5626      0.2532      0.0087      0.0194       0.002       0.417       0.132       1.479       0.047       0.585      40.339       11.92      43843.    0.0335
        1.49      0.5834      0.1488      0.0044      0.0172       0.002       0.371       0.066       1.315       0.042       0.295      22.856       11.93      43930.    0.0135
        1.54      0.6043      0.0015      0.0000      0.0150       0.002       0.322       0.001       1.143       0.036       0.003       0.227       11.94      44017.    0.0000



         PROP RPM =        400

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.0995      0.0392       0.010       1.499       2.666       7.093       0.169      11.857     170.471       15.64      56485.    0.6382
        0.07      0.0209      0.0518      0.0975      0.0394       0.010       1.506       2.614       7.127       0.170      11.629     166.392       15.64      56521.    0.6169
        0.14      0.0418      0.1010      0.0955      0.0395       0.010       1.512       2.560       7.154       0.171      11.387     162.313       15.64      56560.    0.5955
        0.21      0.0628      0.1478      0.0934      0.0397       0.010       1.516       2.502       7.173       0.171      11.131     158.242       15.64      56601.    0.5740
        0.28      0.0837      0.1920      0.0911      0.0397       0.010       1.518       2.442       7.183       0.171      10.860     154.183       15.64      56645.    0.5524
        0.36      0.1046      0.2337      0.0887      0.0397       0.010       1.518       2.377       7.182       0.171      10.574     150.137       15.65      56691.    0.5308
        0.43      0.1255      0.2729      0.0862      0.0396       0.010       1.515       2.309       7.169       0.171      10.272     146.105       15.65      56740.    0.5091
        0.50      0.1464      0.3096      0.0835      0.0395       0.010       1.510       2.238       7.144       0.171       9.954     142.084       15.66      56792.    0.4874
        0.57      0.1674      0.3438      0.0807      0.0393       0.010       1.501       2.163       7.104       0.170       9.619     138.074       15.66      56846.    0.4656
        0.64      0.1883      0.3756      0.0777      0.0390       0.009       1.490       2.084       7.049       0.168       9.268     134.070       15.67      56904.    0.4438
        0.71      0.2092      0.4049      0.0747      0.0386       0.009       1.475       2.001       6.979       0.167       8.902     130.068       15.67      56964.    0.4219
        0.78      0.2301      0.4316      0.0715      0.0381       0.009       1.457       1.916       6.894       0.165       8.522     126.059       15.68      57027.    0.4001
        0.85      0.2510      0.4558      0.0682      0.0375       0.009       1.435       1.827       6.792       0.162       8.128     122.033       15.69      57093.    0.3783
        0.92      0.2720      0.4774      0.0648      0.0369       0.009       1.410       1.736       6.674       0.159       7.722     117.978       15.70      57162.    0.3564
        0.99      0.2929      0.4962      0.0613      0.0362       0.009       1.382       1.642       6.539       0.156       7.302     113.877       15.71      57234.    0.3346
        1.07      0.3138      0.5122      0.0576      0.0353       0.009       1.350       1.545       6.387       0.152       6.872     109.713       15.72      57309.    0.3127
        1.14      0.3347      0.5252      0.0539      0.0344       0.008       1.314       1.446       6.217       0.148       6.430     105.463       15.73      57388.    0.2908
        1.21      0.3556      0.5350      0.0501      0.0333       0.008       1.274       1.344       6.029       0.144       5.977     101.097       15.74      57469.    0.2687
        1.28      0.3766      0.5411      0.0463      0.0322       0.008       1.230       1.240       5.822       0.139       5.515      96.582       15.75      57554.    0.2466
        1.35      0.3975      0.5433      0.0423      0.0309       0.008       1.183       1.134       5.597       0.134       5.043      91.871       15.76      57643.    0.2243
        1.42      0.4184      0.5410      0.0383      0.0296       0.007       1.131       1.026       5.352       0.128       4.562      86.908       15.78      57734.    0.2018
        1.49      0.4393      0.5335      0.0342      0.0281       0.007       1.075       0.916       5.088       0.121       4.072      81.618       15.79      57829.    0.1791
        1.56      0.4602      0.5198      0.0300      0.0266       0.006       1.015       0.804       4.804       0.115       3.576      75.902       15.81      57927.    0.1561
        1.63      0.4812      0.4985      0.0258      0.0249       0.006       0.951       0.691       4.500       0.107       3.073      69.626       15.82      58029.    0.1327
        1.70      0.5021      0.4677      0.0215      0.0231       0.006       0.883       0.577       4.177       0.100       2.564      62.603       15.84      58134.    0.1090
        1.78      0.5230      0.4246      0.0172      0.0212       0.005       0.810       0.461       3.834       0.092       2.052      54.567       15.85      58242.    0.0850
        1.85      0.5439      0.3652      0.0129      0.0192       0.005       0.734       0.345       3.473       0.083       1.537      45.121       15.87      58354.    0.0608
        1.92      0.5648      0.2827      0.0086      0.0171       0.004       0.654       0.229       3.094       0.074       1.021      33.642       15.89      58469.    0.0370
        1.99      0.5858      0.1663      0.0042      0.0149       0.004       0.570       0.113       2.696       0.064       0.505      19.082       15.91      58587.    0.0147
        2.06      0.6067     -0.0073     -0.0002      0.0126       0.003       0.481      -0.004       2.275       0.054      -0.018      -0.809       15.93      58700.    0.0000



         PROP RPM =        500

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.0995      0.0379       0.018       2.262       4.169      13.383       0.256      18.544     141.296       19.55      70606.    0.6615
        0.09      0.0213      0.0546      0.0976      0.0381       0.018       2.274       4.087      13.454       0.257      18.181     137.797       19.55      70652.    0.6388
        0.18      0.0426      0.1065      0.0955      0.0382       0.018       2.284       4.001      13.511       0.258      17.795     134.306       19.55      70702.    0.6160
        0.27      0.0640      0.1556      0.0933      0.0384       0.018       2.291       3.909      13.552       0.259      17.387     130.832       19.55      70755.    0.5931
        0.36      0.0853      0.2020      0.0910      0.0384       0.018       2.294       3.812      13.573       0.259      16.955     127.376       19.55      70811.    0.5702
        0.45      0.1066      0.2457      0.0886      0.0384       0.018       2.294       3.709      13.573       0.259      16.497     123.940       19.56      70870.    0.5473
        0.54      0.1279      0.2867      0.0860      0.0384       0.018       2.290       3.600      13.549       0.259      16.014     120.526       19.56      70933.    0.5244
        0.63      0.1492      0.3251      0.0832      0.0382       0.018       2.282       3.486      13.498       0.258      15.505     117.132       19.57      70999.    0.5015
        0.72      0.1705      0.3608      0.0804      0.0380       0.018       2.268       3.365      13.418       0.256      14.969     113.756       19.58      71069.    0.4785
        0.81      0.1919      0.3939      0.0773      0.0377       0.018       2.250       3.239      13.307       0.254      14.407     110.396       19.58      71142.    0.4556
        0.90      0.2132      0.4244      0.0742      0.0373       0.018       2.225       3.107      13.165       0.251      13.820     107.047       19.59      71219.    0.4327
        0.99      0.2345      0.4523      0.0709      0.0368       0.017       2.196       2.970      12.990       0.248      13.211     103.703       19.60      71300.    0.4098
        1.09      0.2558      0.4775      0.0675      0.0362       0.017       2.161       2.828      12.782       0.244      12.579     100.353       19.61      71385.    0.3870
        1.18      0.2771      0.4999      0.0640      0.0355       0.017       2.120       2.682      12.540       0.240      11.927      96.987       19.62      71474.    0.3642
        1.27      0.2985      0.5195      0.0604      0.0347       0.016       2.073       2.531      12.264       0.234      11.256      93.592       19.64      71567.    0.3414
        1.36      0.3198      0.5361      0.0567      0.0338       0.016       2.020       2.375      11.951       0.228      10.566      90.149       19.65      71664.    0.3186
        1.45      0.3411      0.5496      0.0529      0.0328       0.016       1.961       2.216      11.602       0.222       9.858      86.640       19.66      71765.    0.2958
        1.54      0.3624      0.5597      0.0490      0.0317       0.015       1.896       2.053      11.215       0.214       9.133      83.038       19.68      71871.    0.2728
        1.63      0.3837      0.5660      0.0450      0.0305       0.014       1.824       1.887      10.790       0.206       8.392      79.310       19.69      71980.    0.2498
        1.72      0.4050      0.5681      0.0410      0.0292       0.014       1.745       1.717      10.325       0.197       7.636      75.415       19.71      72094.    0.2266
        1.81      0.4264      0.5654      0.0369      0.0278       0.013       1.660       1.544       9.820       0.188       6.866      71.299       19.73      72212.    0.2031
        1.90      0.4477      0.5569      0.0327      0.0263       0.012       1.568       1.368       9.275       0.177       6.084      66.888       19.75      72335.    0.1794
        1.99      0.4690      0.5415      0.0284      0.0246       0.012       1.469       1.189       8.689       0.166       5.290      62.084       19.76      72462.    0.1552
        2.08      0.4903      0.5175      0.0241      0.0228       0.011       1.363       1.009       8.062       0.154       4.487      56.748       19.78      72593.    0.1307
        2.17      0.5116      0.4823      0.0197      0.0209       0.010       1.250       0.826       7.395       0.141       3.675      50.682       19.81      72729.    0.1056
        2.26      0.5330      0.4320      0.0153      0.0189       0.009       1.131       0.643       6.688       0.128       2.859      43.585       19.83      72869.    0.0801
        2.35      0.5543      0.3606      0.0109      0.0168       0.008       1.005       0.458       5.944       0.114       2.039      34.985       19.85      73014.    0.0543
        2.44      0.5756      0.2578      0.0065      0.0146       0.007       0.873       0.274       5.162       0.099       1.219      24.085       19.87      73162.    0.0289
        2.53      0.5969      0.1039      0.0021      0.0123       0.006       0.734       0.090       4.343       0.083       0.399       9.361       19.90      73312.    0.0064
        2.62      0.6182



         PROP RPM =        600

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.0996      0.0369       0.030       3.175       6.007      22.538       0.359      26.720     120.896       23.46      84727.    0.6795
        0.11      0.0210      0.0552      0.0977      0.0371       0.030       3.193       5.892      22.663       0.361      26.207     117.917       23.46      84782.    0.6563
        0.21      0.0419      0.1076      0.0957      0.0373       0.031       3.207       5.769      22.765       0.362      25.662     114.950       23.46      84840.    0.6331
