         14x13M                   (14x13M.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/23/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS: (Underwater)                                                                                                                                                  
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Vtip (tip speed, fps)                                                                                                                                                      
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        100                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
        0.76      0.1152      0.2162      0.1495      0.0796       0.351      44.300      37.316     262.062       5.005     165.983      64.586       30.56     181940.    0.5790  
        1.02      0.1536      0.2787      0.1481      0.0816       0.360      45.385      36.964     268.482       5.128     164.414      62.446       30.58     182261.    0.5571  
        1.27      0.1920      0.3365      0.1464      0.0835       0.369      46.465      36.559     274.867       5.250     162.613      60.327       30.60     182617.    0.5353  
        1.53      0.2304      0.3899      0.1446      0.0854       0.377      47.513      36.092     281.067       5.368     160.539      58.244       30.63     183009.    0.5135  
        1.78      0.2687      0.4390      0.1424      0.0872       0.385      48.501      35.555     286.910       5.480     158.147      56.208       30.65     183440.    0.4918  
        2.04      0.3071      0.4840      0.1399      0.0888       0.392      49.396      34.935     292.206       5.581     155.392      54.227       30.69     183910.    0.4704  
        2.29      0.3455      0.5253      0.1371      0.0902       0.398      50.164      34.223     296.750       5.668     152.225      52.309       30.73     184418.    0.4491  
        2.54      0.3839      0.5629      0.1338      0.0913       0.403      50.766      33.407     300.310       5.736     148.593      50.455       30.77     184967.    0.4280  
        2.80      0.4223      0.5973      0.1301      0.0920       0.406      51.156      32.471     302.620       5.780     144.429      48.667       30.82     185556.    0.4070  
        3.05      0.4607      0.6285      0.1258      0.0922       0.407      51.282      31.398     303.362       5.794     139.660      46.945       30.87     186184.    0.3860  
        3.31      0.4991      0.6569      0.1209      0.0918       0.405      51.085      30.176     302.198       5.772     134.221      45.291       30.93     186852.    0.3651  
        3.56      0.5375      0.6827      0.1154      0.0908       0.401      50.522      28.799     298.870       5.708     128.100      43.706       30.99     187560.    0.3442  
        3.82      0.5759      0.7061      0.1093      0.0891       0.393      49.580      27.282     293.292       5.601     121.350      42.191       31.05     188308.    0.3234  
        4.07      0.6143      0.7272      0.1027      0.0868       0.383      48.267      25.645     285.528       5.453     114.068      40.738       31.12     189094.    0.3027  
        4.33      0.6527      0.7461      0.0958      0.0838       0.370      46.606      23.910     275.700       5.265     106.352      39.336       31.20     189917.    0.2823  
        4.58      0.6911      0.7626      0.0885      0.0802       0.354      44.616      22.097     263.932       5.041      98.285      37.973       31.27     190779.    0.2620  
        4.84      0.7295      0.7766      0.0810      0.0761       0.336      42.317      20.219     250.327       4.781      89.936      36.636       31.36     191677.    0.2418  
        5.09      0.7679      0.7878      0.0733      0.0714       0.315      39.720      18.290     234.965       4.488      81.355      35.307       31.44     192611.    0.2216  
        5.34      0.8062      0.7958      0.0654      0.0662       0.292      36.837      16.319     217.911       4.162      72.586      33.967       31.53     193582.    0.2014  
        5.60      0.8446      0.7999      0.0573      0.0605       0.267      33.677      14.313     199.221       3.805      63.664      32.587       31.63     194588.    0.1809  
        5.85      0.8830      0.7987      0.0492      0.0544       0.240      30.250      12.280     178.949       3.418      54.623      31.126       31.73     195629.    0.1601  
        6.11      0.9214      0.7905      0.0410      0.0478       0.211      26.566      10.228     157.156       3.001      45.496      29.520       31.83     196705.    0.1385  
        6.36      0.9598      0.7713      0.0327      0.0407       0.180      22.638       8.165     133.917       2.558      36.317      27.654       31.94     197815.    0.1160  
        6.62      0.9982      0.7340      0.0244      0.0332       0.147      18.481       6.099     109.329       2.088      27.128      25.302       32.05     198959.    0.0917  
        6.87      1.0366      0.6610      0.0162      0.0254       0.112      14.117       4.040      83.510       1.595      17.971      21.944       32.16     200136.    0.0647  
        7.13      1.0750      0.5004      0.0080      0.0172       0.076       9.567       1.998      56.592       1.081       8.889      16.017       32.28     201343.    0.0332  
        7.38      1.1134     -0.0208     -0.0002      0.0086       0.038       4.799      -0.040      28.387       0.542      -0.179      -0.642       32.40     202541.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        600                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -     
        0.00      0.0000      0.0000      0.1529      0.0734       0.559      58.758      54.949     417.105       6.638     244.415      59.753       36.65     217405.    0.6500  
        0.31      0.0384      0.0777      0.1519      0.0751       0.573      60.182      54.597     427.211       6.799     242.847      57.966       36.65     217676.    0.6285  
