         10x4M-LH                 (10x4M-LH.dat)
         v2022-0915
         Simulation Date: 12/14/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
        0.88      0.3097      0.4886      0.0493      0.0312       0.005       1.140       1.134       4.045       0.129       5.046     127.202       13.10      53042.    0.2795
        0.93      0.3290      0.4966      0.0458      0.0303       0.005       1.107       1.055       3.931       0.125       4.691     121.682       13.11      53107.    0.2578
        0.99      0.3484      0.5011      0.0423      0.0294       0.005       1.072       0.973       3.806       0.121       4.327     115.953       13.12      53175.    0.2359
        1.04      0.3677      0.5016      0.0386      0.0283       0.005       1.034       0.890       3.669       0.117       3.957     109.961       13.13      53246.    0.2139
        1.10      0.3871      0.4976      0.0350      0.0272       0.005       0.992       0.805       3.522       0.112       3.580     103.639       13.14      53319.    0.1918
        1.15      0.4064      0.4885      0.0312      0.0260       0.005       0.948       0.719       3.363       0.107       3.196      96.901       13.15      53395.    0.1694
        1.20      0.4258      0.4734      0.0274      0.0247       0.004       0.900       0.631       3.193       0.102       2.807      89.635       13.16      53473.    0.1469
        1.26      0.4451      0.4511      0.0236      0.0232       0.004       0.848       0.542       3.011       0.096       2.412      81.693       13.17      53554.    0.1241
        1.31      0.4645      0.4199      0.0197      0.0218       0.004       0.794       0.453       2.817       0.090       2.013      72.875       13.18      53638.    0.1011
        1.37      0.4838      0.3775      0.0157      0.0202       0.004       0.736       0.362       2.612       0.083       1.612      62.906       13.19      53725.    0.0781
        1.42      0.5032      0.3208      0.0118      0.0185       0.003       0.675       0.272       2.396       0.076       1.208      51.390       13.20      53814.    0.0552
        1.48      0.5225      0.2446      0.0078      0.0168       0.003       0.611       0.181       2.170       0.069       0.803      37.737       13.22      53906.    0.0331
        1.53      0.5419      0.1412      0.0039      0.0149       0.003       0.544       0.089       1.932       0.062       0.398      21.001       13.23      54000.    0.0130
        1.59      0.5612     -0.0056     -0.0001      0.0130       0.002       0.473      -0.003       1.680       0.053      -0.013      -0.799       13.24      54088.    0.0000



         PROP RPM =        400

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.0920      0.0342       0.014       2.221       3.766      10.512       0.251      16.752     162.508       17.38      69743.    0.6506
